,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f
11364,CYM,CAF,10861.91318,0,0,30500014.0,109000000000.0,863.3079833999999,10887.9461,5127303680.0,16100000.0
11367,CYM,CHE,8392.544278,0,0,271428704.0,84377415498.0,84945.64844,8437.74155,6883274752.0,16100000.0
11369,CYM,CHL,5955.792955,0,0,2872070912.0,59751848409.0,8730.405273,5975.184840999999,514323360.0,16100000.0
11370,CYM,CHN,13589.4392,0,0,478534656.0,139000000000.0,2952.1560059999997,13890.86029,2853285632.0,15800000.0
11371,CYM,CIV,8401.875552,0,0,598928832.0,84871949905.0,8031.0,8487.19499,6607915520.0,16000000.0
11373,CYM,COD,11400.12715,0,0,771786048.0,109000000000.0,17267.28906,10869.40546,8202452480.0,17000000.0
11374,CYM,COG,10744.95102,0,0,2530184704.0,109000000000.0,30144.316410000003,10862.41812,9377727488.0,16000000.0
11375,CYM,COL,1660.567744,0,0,333214432.0,18157072283.0,2227.0,1815.7072280000002,8950651904.0,14800000.0
11377,CYM,CRI,1079.464776,0,0,246664384.0,10814554186.0,4005.6770020000004,1081.455419,8401340416.0,16100000.0
11378,CYM,CUB,471.621992,0,0,245998624.0,4382234114.0,5581.000977000001,438.22341140000003,12985811968.0,17400000.0
11380,CYM,CYP,10869.47721,0,0,587755392.0,109000000000.0,9939.216797,10855.13811,10517907456.0,16200000.0
11383,CYM,DEU,8435.141529999999,0,0,1337739520.0,86298494728.0,6927.771973000001,8629.849473,19695263744.0,15800000.0
11384,CYM,DJI,13047.569870000001,0,0,1355714944.0,130000000000.0,5439.567871,13037.95915,25558128640.0,16200000.0
11387,CYM,DZA,8308.628685,0,0,80200032.0,82725276229.0,1439.529053,8272.527623,30772531200.0,16200000.0
11388,CYM,ECU,2327.652564,0,0,873949568.0,21948209281.0,14100.00488,2194.820928,40035909632.0,17200000.0
11389,CYM,EGY,10955.96038,1,0,6684946432.0,110000000000.0,86459.02344,10959.53304,54661541888.0,16200000.0
11393,CYM,ETH,12748.50253,0,0,632653376.0,127000000000.0,9279.525391,12740.52902,464285.9375,16200000.0
11395,CYM,FIN,8974.131991,0,0,140414928.0,90171545248.0,1127.0,9017.154525,428571.625,16100000.0
11398,CYM,FLK,8235.289336,1,0,2132500864.0,82193398595.0,10381.98828,8219.33986,6607146.0,16200000.0
11399,CYM,FRA,8049.21589,0,0,8970528768.0,79546202907.0,14785.583980000001,7954.620290999999,607143.125,16400000.0
11404,CYM,GAB,10164.48299,0,0,2262669312.0,101000000000.0,28549.86914,10080.96888,535714.5,16300000.0
11410,CYM,GEO,11192.38948,0,0,337818016.0,113000000000.0,7987.878906,11262.99708,5132599.5,16100000.0
11411,CYM,GHA,8808.789773999999,1,0,108517912.0,108000000000.0,2883.314941,10780.06672,24526996.0,13200000.0
11412,CYM,GIB,7538.326102,1,0,983750464.0,75321399321.0,41346.55859,7532.139931999999,10429975.0,16200000.0
11415,CYM,GMB,6937.507148000001,1,0,722037632.0,69076146729.0,1994.793945,6907.614673,10261569.0,16200000.0
11418,CYM,GRD,2252.912347,1,0,294898080.0,22493098045.0,5441.766113000001,2249.309805,10159265.0,16200000.0
11421,CYM,GUF,3482.267068,0,0,85978608.0,35301051204.0,800.6630249,3530.10512,18400620.0,16000000.0
11423,CYM,GUY,2893.797016,1,0,154596496.0,28680071941.0,3661.549072,2868.0071940000003,16914496.0,16300000.0
11425,CYM,HND,816.3885882000001,0,0,13627508736.0,8485237572.0,43184.0,848.5237572000001,17145558.0,15600000.0
11426,CYM,HTI,946.1732579,0,0,103621728.0,9559950323.0,1426.094971,955.9950322999999,36243976.0,16000000.0
11429,CYM,IDN,18056.46426,0,0,631000000.0,183000000000.0,33207.74609,18309.11712,50727036.0,16000000.0
11432,CYM,IRN,12232.6435,0,0,732143168.0,121000000000.0,22438.69141,12136.48992,314305824.0,16300000.0
11443,CYM,LBR,7798.000958,1,0,102000000.0,77418949218.0,2672.0,7741.8949219999995,399577376.0,16300000.0
11448,CYM,LSO,12855.15735,1,0,49335736.0,128000000000.0,1165.790039,12824.87386,1421146752.0,16200000.0
