,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,Remotenss,Trade Flow
9180,CIV,GTM,9419.488018,0,0,465114688,94834824106,6131,9483.482411,16100000,642074432
9181,CIV,GUF,5336.722207,1,0,158388992,53477045686,2927,5347.704569,16100000,813397312
9182,CIV,GUY,5907.924332,0,0,27516718,59851114379,596,5985.111438,16000000,1027862208
9183,CIV,HKG,12659.72135,0,0,,1.26E+11,1440,12630.40704,16200000,1225590144
9184,CIV,HND,9080.247806,0,0,183621248,91307086317,6784,9130.708632,16100000,1527521408
9185,CIV,HRV,4812.209334,0,0,,49004013787,7605.743164,4900.401379,15900000,1752854144
9186,CIV,HTI,7459.405979,0,0,,75343712673,14515,7534.371267,16000000,2056180096
9187,CIV,HUN,5128.267824,0,0,123008600,51805590496,3837,5180.55905,16000000,2251888128
9188,CIV,IDN,12602.90908,0,0,18718700,1.24E+11,950,12369.66809,16500000,2281155840
9189,CIV,IND,8921.816935,0,0,,84358807100,5707,8435.88071,17100000,2711033856
9190,CIV,IRL,5239.740371,0,0,,53446595375,7057.194824,5344.659537,15900000,2894536192
9191,CIV,IRN,6576.152058,0,0,,65787126758,3300,6578.712676,16200000,2875407616
9192,CIV,IRQ,5935.165026,0,0,,58834537972,1944,5883.453797,16300000,2749060608
9193,CIV,ISL,6619.133187,0,0,,66955734456,749.6063232,6695.573446,16000000,2736789504
9194,CIV,ISR,5020.938201,1,0,376089248,50080319390,4051,5008.031939,16200000,2942466048
9195,CIV,ITA,4402.102676,0,0,,43849365267,464.4863892,4384.936527,16200000,3057165056
9196,CIV,JAM,7944.107993,0,0,,27754918711,896.1811523,2775.491871,46300000,3050207488
9197,CIV,JOR,5101.246509,0,0,,50981327085,13194,5098.132708,16200000,3646005504
9198,CIV,JPN,13929.16761,0,0,,1.41E+11,3219.908691,14090.51491,16000000,3645548800
9199,CIV,KAZ,8507.759081,0,0,314094112,88686758081,3542,8868.675808,15500000,4379757056
9200,CIV,KEN,4714.583113,0,0,,45958058535,6998.631836,4595.805854,16600000,5118195712
9201,CIV,KGZ,8648.4888,0,0,756896256,86810583892,11896,8681.058389,16100000,5408747520
9202,CIV,KHM,11954.05067,0,0,,1.19E+11,3538.289795,11937.02568,16200000,5298470400
9203,CIV,KIR,19108.54097,0,0,82906488,1.92E+11,6351,19195.38104,16100000,5268510208
9204,CIV,KNA,6462.941832,0,0,,65128297585,13458.08105,6512.829758,16100000,2619250944
9205,CIV,KOR,13148.60557,0,0,,1.31E+11,7178.609375,13062.11638,16300000,2602966016
9206,CIV,KWT,6090.213866,0,0,71485840,60693018875,4563,6069.301888,16200000,2783925760
9207,CIV,LAO,11725.93122,0,0,,1.16E+11,5480,11568.2894,16400000,2935782144
9208,CIV,LBN,5167.547528,1,0,2697271296,51636837782,41610,5163.683778,16200000,2892040960
